az1,5.20016152,3.600478,5.20016152,3.600478,5.20016152,3.600478,0,1,0
az2,1.16623375,-0.20415489,1.16623375,-0.20415489,1.16623375,-0.20415489,1,0,0
az3,8.81627698,0.80112635,8.81627698,0.80112635,8.81627698,0.80112635,0,0,1
az4,6.10793618,3.65692251,6.10793618,3.65692251,6.10793618,3.65692251,0,1,0
az5,8.72316105,1.10991384,8.72316105,1.10991384,8.72316105,1.10991384,0,0,1
az6,8.33991337,-0.67614653,8.33991337,-0.67614653,8.33991337,-0.67614653,0,0,1
az7,0.21329234,1.50407382,0.21329234,1.50407382,0.21329234,1.50407382,1,0,0
az8,8.1967681,0.73646491,8.1967681,0.73646491,8.1967681,0.73646491,0,0,1
az9,0.46287545,-0.11888259,0.46287545,-0.11888259,0.46287545,-0.11888259,1,0,0
az10,1.33815084,-0.5028398,1.33815084,-0.5028398,1.33815084,-0.5028398,1,0,0
az11,9.0072706,0.10711945,9.0072706,0.10711945,9.0072706,0.10711945,0,0,1
az12,5.39136892,4.24911474,5.39136892,4.24911474,5.39136892,4.24911474,0,1,0
az13,2.57928399,-0.87196673,2.57928399,-0.87196673,2.57928399,-0.87196673,1,0,0
az14,3.15290695,-0.39992437,3.15290695,-0.39992437,3.15290695,-0.39992437,1,0,0
az15,4.10982998,2.5420347,4.10982998,2.5420347,4.10982998,2.5420347,0,1,0
az16,8.48991743,0.48117141,8.48991743,0.48117141,8.48991743,0.48117141,0,0,1
az17,8.37693417,0.33556006,8.37693417,0.33556006,8.37693417,0.33556006,0,0,1
az18,1.85827346,1.42598629,1.85827346,1.42598629,1.85827346,1.42598629,1,0,0
az19,7.42621737,-0.51529161,7.42621737,-0.51529161,7.42621737,-0.51529161,0,0,1
az20,6.26798874,-0.29349318,6.26798874,-0.29349318,6.26798874,-0.29349318,0,0,1
az21,0.56253126,1.29815393,0.56253126,1.29815393,0.56253126,1.29815393,1,0,0
az22,5.94753487,0.45945227,5.94753487,0.45945227,5.94753487,0.45945227,0,0,1
az23,7.30527185,-0.59414255,7.30527185,-0.59414255,7.30527185,-0.59414255,0,0,1
az24,9.06363786,-0.96093004,9.06363786,-0.96093004,9.06363786,-0.96093004,0,0,1
az25,3.83075585,4.35956336,3.83075585,4.35956336,3.83075585,4.35956336,0,1,0
az26,3.89426484,4.18532423,3.89426484,4.18532423,3.89426484,4.18532423,0,1,0
az27,5.37403447,4.52601294,5.37403447,4.52601294,5.37403447,4.52601294,0,1,0
az28,5.59807904,5.51435561,5.59807904,5.51435561,5.59807904,5.51435561,0,1,0
az29,4.31726645,3.70024855,4.31726645,3.70024855,4.31726645,3.70024855,0,1,0
az30,8.07006338,-1.11901292,8.07006338,-1.11901292,8.07006338,-1.11901292,0,0,1
az31,4.47527316,6.06768675,4.47527316,6.06768675,4.47527316,6.06768675,0,1,0
az32,8.19343351,0.33432443,8.19343351,0.33432443,8.19343351,0.33432443,0,0,1
az33,3.97877867,3.53382737,3.97877867,3.53382737,3.97877867,3.53382737,0,1,0
az34,5.95625715,5.27093117,5.95625715,5.27093117,5.95625715,5.27093117,0,1,0
az35,4.65228805,2.3071019,4.65228805,2.3071019,4.65228805,2.3071019,0,1,0
az36,8.94521903,-0.31980679,8.94521903,-0.31980679,8.94521903,-0.31980679,0,0,1
az37,5.39533311,3.96188333,5.39533311,3.96188333,5.39533311,3.96188333,0,1,0
az38,1.48890743,1.53307157,1.48890743,1.53307157,1.48890743,1.53307157,1,0,0
az39,3.47516055,4.87080215,3.47516055,4.87080215,3.47516055,4.87080215,0,1,0
az40,1.6890117,0.14809423,1.6890117,0.14809423,1.6890117,0.14809423,1,0,0
az41,0.73391933,0.69533091,0.73391933,0.69533091,0.73391933,0.69533091,1,0,0
az42,0.14619864,2.520845,0.14619864,2.520845,0.14619864,2.520845,1,0,0
az43,3.4181741,2.34953714,3.4181741,2.34953714,3.4181741,2.34953714,1,0,0
az44,0.77871301,-0.59550704,0.77871301,-0.59550704,0.77871301,-0.59550704,1,0,0
az45,6.71115838,3.99031274,6.71115838,3.99031274,6.71115838,3.99031274,0,1,0
az46,3.44510875,4.05028607,3.44510875,4.05028607,3.44510875,4.05028607,0,1,0
az47,7.97114414,0.83088881,7.97114414,0.83088881,7.97114414,0.83088881,0,0,1
az48,7.58520377,-0.96363601,7.58520377,-0.96363601,7.58520377,-0.96363601,0,0,1
az49,4.00403071,2.93517083,4.00403071,2.93517083,4.00403071,2.93517083,0,1,0
az50,6.85048205,-2.28943841,6.85048205,-2.28943841,6.85048205,-2.28943841,0,0,1
az51,1.00476007,0.14654362,1.00476007,0.14654362,1.00476007,0.14654362,1,0,0
az52,4.34151607,3.17915898,4.34151607,3.17915898,4.34151607,3.17915898,0,1,0
az53,0.95019777,1.06689256,0.95019777,1.06689256,0.95019777,1.06689256,1,0,0
az54,0.75581095,1.38534193,0.75581095,1.38534193,0.75581095,1.38534193,1,0,0
az55,6.810524,0.57654595,6.810524,0.57654595,6.810524,0.57654595,0,0,1
az56,7.01112707,4.49933874,7.01112707,4.49933874,7.01112707,4.49933874,0,1,0
az57,-1.05308207,0.94809618,-1.05308207,0.94809618,-1.05308207,0.94809618,1,0,0
az58,0.8255838,0.96037145,0.8255838,0.96037145,0.8255838,0.96037145,1,0,0
az59,3.33164056,0.08605072,3.33164056,0.08605072,3.33164056,0.08605072,1,0,0
az60,5.52866465,-0.13049586,5.52866465,-0.13049586,5.52866465,-0.13049586,0,0,1
